[2026-09-01 17:33:54.312384] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1463MB is z=6.9 above its own baseline (avg 131MB)
[2026-09-01 17:34:10.653145] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 223 simultaneous network connections
[2026-09-01 17:34:10.653145] CPU_SPIKE | proc=csrss.exe pid=900 exe=C:\Windows\System32\csrss.exe | cpu=6.9% is z=4.0 above its own baseline (avg 1.1%)
[2026-09-01 17:34:10.653145] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=820MB is z=3.6 above its own baseline (avg 131MB)
[2026-09-01 17:34:10.653145] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.3 above its own baseline (avg 12MB)
[2026-09-01 17:34:10.653145] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:34:10.653145] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:34:10.653145] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:34:10.653145] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=770MB is z=3.3 above its own baseline (avg 131MB)
[2026-09-01 17:34:10.653145] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 84 simultaneous network connections
[2026-09-01 17:34:10.653145] CPU_SPIKE | proc=chrome.exe pid=23680 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=12.3% is z=4.7 above its own baseline (avg 0.5%)
[2026-09-01 17:34:10.653145] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1462MB is z=6.9 above its own baseline (avg 131MB)
[2026-09-01 17:34:24.949636] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 201 simultaneous network connections
[2026-09-01 17:34:24.949636] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=820MB is z=3.6 above its own baseline (avg 131MB)
[2026-09-01 17:34:24.949636] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.3 above its own baseline (avg 12MB)
[2026-09-01 17:34:24.949636] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=38MB is z=3.4 above its own baseline (avg 12MB)
[2026-09-01 17:34:24.949636] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:34:24.949636] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
